number,url,title,quadrant,type,age_days,created,labels
16129,https://github.com/dotnet/aspire/issues/16129,Foundry Hosted Agent responses are rendered weirdly,Dashboard,feature,0,2026-04-13,area-dashboard; ai
16127,https://github.com/dotnet/aspire/issues/16127,Foundry Anthropic models aren't deployable,Integrations,feature,0,2026-04-13,area-integrations; azure
16126,https://github.com/dotnet/aspire/issues/16126,Aspire run and aspire start should fail or prompt if multiple apphosts found,Inner Loop,bug,0,2026-04-13,area-cli
16124,https://github.com/dotnet/aspire/issues/16124,CLI: TypeScript AppHost top-level await fails in brownfield repos without type:module,Polyglot,bug,0,2026-04-13,area-app-model
16121,https://github.com/dotnet/aspire/issues/16121,"CLI: TypeScript AppHost hardcodes npm install, ignoring packageManager field",Inner Loop,feature,0,2026-04-13,area-cli
16119,https://github.com/dotnet/aspire/issues/16119,Show Azure Portal links in deployment summaries,Deployment,feature,0,2026-04-13,area-deployment
16118,https://github.com/dotnet/aspire/issues/16118,aspire doctor should check for Docker buildx,Uncategorized,feature,0,2026-04-13,needs-area-label
16116,https://github.com/dotnet/aspire/issues/16116,Open dashboard in browser automatically when launching from CLI,Dashboard,feature,0,2026-04-13,area-dashboard
16115,https://github.com/dotnet/aspire/issues/16115,Foundry Hosted Agent should overwrite existing HTTP Endpoints,Inner Loop,feature,0,2026-04-13,area-integrations; ai
16114,https://github.com/dotnet/aspire/issues/16114,Kubernetes Helm chart generation fails when resources reference Azure Bicep outputs,Integrations,bug,0,2026-04-13,area-integrations
16113,https://github.com/dotnet/aspire/issues/16113,PipelineSummaryItem should have a logo/symbol/emoji property,Uncategorized,feature,0,2026-04-13,needs-area-label
16112,https://github.com/dotnet/aspire/issues/16112,aspire destroy: Add --no-wait flag for async Azure resource group deletion,Deployment,feature,0,2026-04-13,area-deployment
16109,https://github.com/dotnet/aspire/issues/16109,[Deployment E2E] Nightly test failure - 2026-04-13,Infra,bug,0,2026-04-13,area-testing; deployment-e2e
16108,https://github.com/dotnet/aspire/issues/16108,Pipeline step messages and prompts should be localized,Deployment,feature,0,2026-04-13,area-deployment
16107,https://github.com/dotnet/aspire/issues/16107,aspire start --isolated breaks resource telemetry,Polyglot,feature,0,2026-04-13,area-app-model
16105,https://github.com/dotnet/aspire/issues/16105,[Failing test]: SmolSemVer Windows - process initialization failure (exit code -1073741502),Infra,bug,0,2026-04-13,area-engineering-systems; failing-test
16103,https://github.com/dotnet/aspire/issues/16103,localhive/build fails after cleaning artifacts: replace-text.cs script runner can't find cached exe,Infra,bug,0,2026-04-13,area-engineering-systems
16102,https://github.com/dotnet/aspire/issues/16102,aspire destroy: Purge soft-deleted Azure resources after resource group deletion,Deployment,feature,0,2026-04-12,area-deployment
16101,https://github.com/dotnet/aspire/issues/16101,"IHelmRunner: Add typed methods for deploy, uninstall, verify",Deployment,feature,0,2026-04-12,area-deployment
16099,https://github.com/dotnet/aspire/issues/16099,aspire destroy: Helm uninstall should throw on non-zero exit code,Deployment,feature,0,2026-04-12,area-deployment
16096,https://github.com/dotnet/aspire/issues/16096,"ASPIRE_ENVIRONMENT should be read by DistributedApplicationBuilder, not just the CLI",Polyglot,feature,1,2026-04-12,area-app-model
16095,https://github.com/dotnet/aspire/issues/16095,Improve startup display and logging for the standalone dashboard container,Dashboard,feature,1,2026-04-12,area-dashboard
16092,https://github.com/dotnet/aspire/issues/16092,Aspire MCP in Visual Studio,Inner Loop,feature,1,2026-04-12,area-tooling
16091,https://github.com/dotnet/aspire/issues/16091,Make parameters first-class in the CLI and deployment pipeline,Deployment,feature,1,2026-04-12,area-deployment; area-cli
16090,https://github.com/dotnet/aspire/issues/16090,Improve parameter experience during deployment,Deployment,feature,1,2026-04-12,area-deployment; area-cli
16081,https://github.com/dotnet/aspire/issues/16081,[Deployment E2E] Nightly test failure - 2026-04-12,Infra,bug,1,2026-04-12,area-testing; deployment-e2e
16078,https://github.com/dotnet/aspire/issues/16078,Remove container tunnel check from aspire doctor — tunnel is on by default in 13.3,Inner Loop,feature,1,2026-04-12,area-cli
16076,https://github.com/dotnet/aspire/issues/16076,StartStopTests.CreateStartAndStopAspireProject is flaky — times out polling docker network,Infra,bug,1,2026-04-12,flaky-test; area-cli
16073,https://github.com/dotnet/aspire/issues/16073,Pipeline step summary doesn't render errors clearly,Deployment,bug,2,2026-04-11,area-deployment
16069,https://github.com/dotnet/aspire/issues/16069,Dashboard doesn't load if `ASPNETCORE_ENVIRONMENT` is not `Development`,Dashboard,feature,2,2026-04-11,area-dashboard
16068,https://github.com/dotnet/aspire/issues/16068,`AddCSharpApp` should enter a failed state if the project's runtime is unavailable,Polyglot,bug,2,2026-04-11,area-app-model
16067,https://github.com/dotnet/aspire/issues/16067,Browser Token not working on dashboard over HTTP,Dashboard,bug,2,2026-04-11,needs-area-label
16066,https://github.com/dotnet/aspire/issues/16066,Include CLI Version in `aspire doctor`,Inner Loop,feature,2,2026-04-11,needs-area-label
16065,https://github.com/dotnet/aspire/issues/16065,Why does `aspire doctor` want access to everything,Uncategorized,feature,2,2026-04-11,needs-area-label
16063,https://github.com/dotnet/aspire/issues/16063,Unified resource introspection for local and deployed environments,Deployment,feature,2,2026-04-11,area-deployment; area-cli
16062,https://github.com/dotnet/aspire/issues/16062,[Failing test]: Aspire.Cli.EndToEnd.Tests.PythonReactTemplateTests.CreateAndRunPythonReactProject,Infra,bug,2,2026-04-11,failing-test
16058,https://github.com/dotnet/aspire/issues/16058,/create-issue: support multiple test names and fix underscore escaping in issue titles,Infra,bug,2,2026-04-11,area-app-testing
16055,https://github.com/dotnet/aspire/issues/16055,Support arbitrary property pass-through from MSBuild test projects to GitHub workflows via runsheets,Infra,feature,2,2026-04-11,area-engineering-systems
16054,https://github.com/dotnet/aspire/issues/16054,[Failing test]: Aspire.Hosting.Tests.Backchannel.Exec.ContainerResourceExecTests.Exec\_NginxContainer\_ListFiles\_ProducesLogs\_Success,Infra,bug,2,2026-04-11,failing-test
16048,https://github.com/dotnet/aspire/issues/16048,Oracle fails with `ORA-12154: TNS:could not resolve` if not overriden,Integrations,bug,3,2026-04-10,area-integrations
16045,https://github.com/dotnet/aspire/issues/16045,VS Code: Code Lens shows up in weird places Take 2,Dashboard,feature,3,2026-04-10,area-dashboard
16037,https://github.com/dotnet/aspire/issues/16037,"When started under isolated mode, no Traces and metrics are displayed in the Aspire dashboard",Dashboard,feature,3,2026-04-10,area-dashboard; area-app-model; area-cli
