number,url,title,quadrant,type,age_days,created,labels
16035,https://github.com/dotnet/aspire/issues/16035,Tests failing with `unexpected status from HEAD request to https://mcr.microsoft.com/v2/dotnet/sdk/ ... 403 Forbidden`,Infra,bug,3,2026-04-10,failing-test
16032,https://github.com/dotnet/aspire/issues/16032,"Unify E2E test helpers: centralized error handling, logging, and resource assertions",Polyglot,bug,3,2026-04-10,area-polyglot
16031,https://github.com/dotnet/aspire/issues/16031,Migrate Windows CLI validation to Hex1b-based E2E tests,Inner Loop,feature,3,2026-04-10,needs-area-label
16030,https://github.com/dotnet/aspire/issues/16030,[Deployment E2E] Nightly test failure - 2026-04-10,Infra,bug,3,2026-04-10,area-testing; deployment-e2e
16029,https://github.com/dotnet/aspire/issues/16029,Azure Function resources get 'Failed to execute command 'rebuild' on resource' error,Deployment,bug,3,2026-04-10,area-integrations; azure-functions
16028,https://github.com/dotnet/aspire/issues/16028,aspire ps does not show dashboard login token,Inner Loop,feature,3,2026-04-10,area-cli
16026,https://github.com/dotnet/aspire/issues/16026,Add runtime unit tests for generated TypeScript transport code (trackPromise/flushPendingPromises),Polyglot,feature,3,2026-04-10,area-polyglot
16018,https://github.com/dotnet/aspire/issues/16018,`aspire ps` should include `DistributedApplicationOptions.DashboardApplicationName`,Infra,feature,4,2026-04-09,area-app-testing; enhancement
16015,https://github.com/dotnet/aspire/issues/16015,AddViteApp doesn't add pnpm-workspace.yaml in the docker context,Uncategorized,feature,4,2026-04-09,needs-area-label
16014,https://github.com/dotnet/aspire/issues/16014,`aspire describe` should have an option to include hidden resources,Inner Loop,feature,4,2026-04-09,area-cli
16013,https://github.com/dotnet/aspire/issues/16013,`aspire` cli commands don't support `aspire-dashboard` (possibly all hidden resources),Dashboard,feature,4,2026-04-09,area-dashboard
16012,https://github.com/dotnet/aspire/issues/16012,Better handle dashboard crashes,Dashboard,bug,4,2026-04-09,area-dashboard
16011,https://github.com/dotnet/aspire/issues/16011,AddContainer + PublishAsAzureContainerApp does not configure ACR identity for image pull,Deployment,bug,4,2026-04-09,area-deployment; silent-failure
16010,https://github.com/dotnet/aspire/issues/16010,Passing an invalid ReferenceExpression as an environment variable propagates a silent failure,Polyglot,bug,4,2026-04-09,area-app-model
16001,https://github.com/dotnet/aspire/issues/16001,Aspire does not proxy Quic protocol,Polyglot,feature,4,2026-04-09,area-app-model
15999,https://github.com/dotnet/aspire/issues/15999,ExplicitStart Dashboard rather than excluding it when Dashboard is disabled,Dashboard,feature,4,2026-04-09,area-dashboard; enhancement
15994,https://github.com/dotnet/aspire/issues/15994,[Deployment E2E] Nightly test failure - 2026-04-09,Infra,bug,4,2026-04-09,area-testing; deployment-e2e
15993,https://github.com/dotnet/aspire/issues/15993,Extend the External Service APIs,Polyglot,feature,4,2026-04-09,area-app-model; enhancement
15986,https://github.com/dotnet/aspire/issues/15986,Single-file apphost.cs template in aspire new produces apphost.cs that doesn't work with `dotnet run`,Inner Loop,bug,4,2026-04-08,‼️regression-from-last-release; area-cli
15984,https://github.com/dotnet/aspire/issues/15984,Many Aspire CLI logs from VS Code extension,Inner Loop,feature,4,2026-04-08,area-extension
15971,https://github.com/dotnet/aspire/issues/15971,Foundry doesn't add the correct role assignments to be able to use deployments,Integrations,feature,5,2026-04-08,area-integrations; azure
15970,https://github.com/dotnet/aspire/issues/15970,Aspire.Hosting.Foundry should output a Summary after deployment,Deployment,feature,5,2026-04-08,area-deployment
15968,https://github.com/dotnet/aspire/issues/15968,Issues with Aspire (using .net) + Azure AI Foundry,Integrations,feature,5,2026-04-08,needs-area-label
15967,https://github.com/dotnet/aspire/issues/15967,Store polyglot AppHost restore artifacts under the workspace instead of ~/.aspire/packages/restore,Polyglot,feature,5,2026-04-08,needs-area-label; enhancement
15965,https://github.com/dotnet/aspire/issues/15965,[dnceng-bot] Branch `aspire/main` can't be mirrored to Azdo fast forward branch,Uncategorized,feature,5,2026-04-08,needs-area-label
15961,https://github.com/dotnet/aspire/issues/15961,Useful utility methods are inaccessible due to private and internal access modifiers.,Polyglot,feature,5,2026-04-08,area-app-model
15957,https://github.com/dotnet/aspire/issues/15957,"Show timestamps in ""Manage logs and telemetry"" on dashboard",Dashboard,feature,5,2026-04-08,area-dashboard; enhancement
15953,https://github.com/dotnet/aspire/issues/15953,[Deployment E2E] Nightly test failure - 2026-04-08,Infra,bug,5,2026-04-08,area-testing; deployment-e2e
15949,https://github.com/dotnet/aspire/issues/15949,"CLI packaging, distribution mode, and channel overhaul",Inner Loop,feature,5,2026-04-07,area-acquisition; tracking; area-cli
15947,https://github.com/dotnet/aspire/issues/15947,Embed distribution channel in CLI binary instead of relying on `aspire.config.json`,Inner Loop,feature,5,2026-04-07,area-acquisition; area-cli
15938,https://github.com/dotnet/aspire/issues/15938,Make CLI bundle self-extraction conditional based on distribution mode,Inner Loop,feature,6,2026-04-07,area-cli; enhancement
15937,https://github.com/dotnet/aspire/issues/15937,`get-aspire-cli.sh --version 13.1.0` returns 404 — stable versions still broken on ci.dot.net,Infra,bug,6,2026-04-07,area-engineering-systems; area-acquisition; bug
15936,https://github.com/dotnet/aspire/issues/15936,aspire init --log-level debug : Select language does not appear at the bottom of the terminal.,Inner Loop,bug,6,2026-04-07,area-cli
15935,https://github.com/dotnet/aspire/issues/15935,PR dogfooding should isolate all artifacts under `~/.aspire/pr/{prNumber}/`,Inner Loop,feature,6,2026-04-07,area-acquisition
15933,https://github.com/dotnet/aspire/issues/15933,Create AzDO pipeline for signing and publishing CLI acquisition scripts,Inner Loop,feature,6,2026-04-07,area-acquisition
15932,https://github.com/dotnet/aspire/issues/15932,`aspire update --self` should support opt-out via `.aspire-update.json` next to the CLI binary,Inner Loop,feature,6,2026-04-07,area-acquisition
15930,https://github.com/dotnet/aspire/issues/15930,"CLI E2E tests that use bare bash (non-Docker) fail with ""aspire: command not found"" outside PR context",Infra,bug,6,2026-04-07,testing ☑️; disabled-tests; area-cli
15927,https://github.com/dotnet/aspire/issues/15927,[aw] PR Documentation Check failed,Inner Loop,bug,6,2026-04-07,area-integrations; agentic-workflows
15925,https://github.com/dotnet/aspire/issues/15925,YARP container fails to resolve named endpoint via service discovery after upgrade to Aspire.Hosting.Yarp 13.2.1,Polyglot,bug,6,2026-04-07,area-service-discovery; ‼️regression-from-last-release
15920,https://github.com/dotnet/aspire/issues/15920,[Deployment E2E] Nightly test failure - 2026-04-07,Infra,bug,6,2026-04-07,area-testing; deployment-e2e
15915,https://github.com/dotnet/aspire/issues/15915,Feature request: Surface portal/endpoint links for Azure resources in the dashboard,Integrations,feature,6,2026-04-07,area-integrations
15913,https://github.com/dotnet/aspire/issues/15913,Aspire DCP injection of `LOGGING__CONSOLE__FORMATTERNAME` overrides Console `LogLevel` configuration from appsettings,Polyglot,feature,6,2026-04-06,area-app-model
15911,https://github.com/dotnet/aspire/issues/15911,Rollup: Tracking`aspire init` improvements and bug fixes,Inner Loop,bug,7,2026-04-06,tracking; area-cli
15909,https://github.com/dotnet/aspire/issues/15909,Aspire.Hosting.Yarp dependency versions,Integrations,feature,7,2026-04-06,needs-area-label
15908,https://github.com/dotnet/aspire/issues/15908,playground/TestShop fails to run after restore.cmd - Microsoft.AspNetCore.App 8.0.0 runtime missing from local .dotnet,Uncategorized,bug,7,2026-04-06,needs-area-label
15905,https://github.com/dotnet/aspire/issues/15905,[Deployment E2E] Nightly test failure - 2026-04-06,Infra,bug,7,2026-04-06,area-testing; deployment-e2e
15904,https://github.com/dotnet/aspire/issues/15904,`aspire update` ignores global.json for Aspire.AppHost.Sdk version,Inner Loop,feature,8,2026-04-05,area-cli
15903,https://github.com/dotnet/aspire/issues/15903,[Deployment E2E] Nightly test failure - 2026-04-05,Infra,bug,8,2026-04-05,area-testing; deployment-e2e
15902,https://github.com/dotnet/aspire/issues/15902,Add @internal JSDoc tags to generated *Impl and *PromiseImpl classes,Polyglot,feature,9,2026-04-04,area-polyglot
15900,https://github.com/dotnet/aspire/issues/15900,Publishers crash or silently drop resources when references cross resource boundaries,Deployment,bug,9,2026-04-04,area-app-model
15895,https://github.com/dotnet/aspire/issues/15895,Auto-close Simple Browser tab when debug session ends,Inner Loop,bug,9,2026-04-04,blocked; area-extension
15891,https://github.com/dotnet/aspire/issues/15891,`aspire update --channel daily` fails because nuget.config is modified before packages are updated,Inner Loop,bug,9,2026-04-04,area-cli
15890,https://github.com/dotnet/aspire/issues/15890,[Deployment E2E] Nightly test failure - 2026-04-04,Infra,bug,9,2026-04-04,area-testing; deployment-e2e
15889,https://github.com/dotnet/aspire/issues/15889,/create-issue: Add dedup check to prevent duplicate issue creation on concurrent runs,Infra,feature,9,2026-04-04,area-engineering-systems
15882,https://github.com/dotnet/aspire/issues/15882,[Failing test]: Aspire.Cli.EndToEnd.Tests.DockerDeploymentTests.CreateAndDeployToDockerCompose,Infra,bug,9,2026-04-04,needs-area-label; disabled-tests; failing-test
15880,https://github.com/dotnet/aspire/issues/15880,aspire add: support non-interactive search/filter for hosting integrations,Integrations,feature,9,2026-04-04,area-integrations; aspirifriday
15878,https://github.com/dotnet/aspire/issues/15878,Rethink 'aspire init' to optimize for coding agent success rather than file detection/scaffolding,Inner Loop,feature,9,2026-04-04,needs-area-label; aspirifriday
15877,https://github.com/dotnet/aspire/issues/15877,Auto-generated Dockerfiles break yarn/npm workspaces monorepos,Uncategorized,feature,9,2026-04-04,needs-area-label; aspirifriday
15876,https://github.com/dotnet/aspire/issues/15876,Docker Compose deploy fails when Dockerfile final stage has no CMD/ENTRYPOINT (FROM scratch),Deployment,bug,9,2026-04-04,area-deployment; aspirifriday
15875,https://github.com/dotnet/aspire/issues/15875,publishAsDockerFile: dockerfilePath resolution relative to context is confusing,Deployment,feature,9,2026-04-04,area-app-model; aspirifriday
15874,https://github.com/dotnet/aspire/issues/15874,Auto-generated Dockerfile uses outdated Node.js version from engines field,Polyglot,feature,9,2026-04-04,needs-area-label; aspirifriday
15872,https://github.com/dotnet/aspire/issues/15872,aspire deploy: az login check times out after ~10 seconds with no way to override,Deployment,feature,9,2026-04-03,area-deployment; aspirifriday
15871,https://github.com/dotnet/aspire/issues/15871,[Failing test]: Aspire.Cli.EndToEnd.Tests.DockerDeploymentTests.CreateAndDeployToDockerComposeInteractive,Infra,bug,9,2026-04-03,disabled-tests; failing-test
15870,https://github.com/dotnet/aspire/issues/15870,[Failing test]: Aspire.Cli.EndToEnd.Tests.KubernetesPublishTests.CreateAndPublishToKubernetes,Infra,bug,9,2026-04-03,disabled-tests; area-cli; failing-test
15868,https://github.com/dotnet/aspire/issues/15868,EndpointPropertyExpression not exported/available in TypeScript SDK,Polyglot,bug,9,2026-04-03,area-app-model; bug; aspirifriday
15862,https://github.com/dotnet/aspire/issues/15862,No way to pass Docker build args through YARP static files publishing to the source resource build,Deployment,feature,9,2026-04-03,area-app-model
15859,https://github.com/dotnet/aspire/issues/15859,PublishWithStaticFiles and PublishAsStaticWebsite should allow Dockerfile customization,Deployment,feature,10,2026-04-03,area-app-model
15858,https://github.com/dotnet/aspire/issues/15858,"WithDockerfileBuilder not available in polyglot apphosts, and no publishAsDockerfile metho exists",Deployment,feature,10,2026-04-03,area-app-model; area-polyglot; aspirifridays
15853,https://github.com/dotnet/aspire/issues/15853,AddViteApp HTTPS config injection fails in yarn workspaces monorepos (node_modules hoisting),Polyglot,bug,10,2026-04-03,area-app-model; aspirifriday
15852,https://github.com/dotnet/aspire/issues/15852,TypeScript apphost scaffold: tsconfig.apphost.json not discovered by typescript-eslint project service,Polyglot,feature,10,2026-04-03,area-polyglot; aspirifriday
15850,https://github.com/dotnet/aspire/issues/15850,VS Code: `Run with aspire` doesn't rebuilt app host if out of date,Inner Loop,feature,10,2026-04-03,area-cli
15846,https://github.com/dotnet/aspire/issues/15846,`aspire config info` exists but is omitted from `aspire config --help`,Inner Loop,feature,10,2026-04-03,area-cli
15845,https://github.com/dotnet/aspire/issues/15845,Plain `aspire logs` / telemetry output leaks ANSI fragments,Inner Loop,feature,10,2026-04-03,area-cli
15843,https://github.com/dotnet/aspire/issues/15843,`aspire start --format json` injects human readable messages,Inner Loop,feature,10,2026-04-03,area-cli
15842,https://github.com/dotnet/aspire/issues/15842,`aspire wait` does not accept the resource name emitted by JSON output,Inner Loop,feature,10,2026-04-03,area-cli
15841,https://github.com/dotnet/aspire/issues/15841,`aspire new ... --non-interactive` fails without `--output`,Inner Loop,bug,10,2026-04-03,area-cli
15840,https://github.com/dotnet/aspire/issues/15840,`aspire docs list` has formatting issues,Inner Loop,feature,10,2026-04-03,area-cli
15839,https://github.com/dotnet/aspire/issues/15839,Add WithDatabaseBackup to SQL Server integration,Integrations,feature,10,2026-04-03,area-integrations; enhancement
15838,https://github.com/dotnet/aspire/issues/15838,Regression in Docker Compose publishing,Deployment,bug,10,2026-04-03,area-deployment; docker-compose
15833,https://github.com/dotnet/aspire/issues/15833,[Deployment E2E] Nightly test failure - 2026-04-03,Infra,bug,10,2026-04-03,area-testing; deployment-e2e
15831,https://github.com/dotnet/aspire/issues/15831,[Failing test]: Aspire.Cli.EndToEnd.Tests.ProjectReferenceTests.TypeScriptAppHostWithProjectReferenceIntegration,Infra,bug,10,2026-04-03,area-cli; quarantined-test; failing-test
15830,https://github.com/dotnet/aspire/issues/15830,[tests] `CLI Starter Validation` test getting terminated after 20mins,Infra,feature,10,2026-04-03,area-engineering-systems; testing ☑️
15818,https://github.com/dotnet/aspire/issues/15818,[CI] AzDO PR builds fail on WinGet/Homebrew installer URL validation,Infra,bug,10,2026-04-02,area-engineering-systems
15817,https://github.com/dotnet/aspire/issues/15817,[CI] Add a new dedicated pipeline for publishing the install scripts,Infra,feature,11,2026-04-02,area-engineering-systems; area-acquisition
15816,https://github.com/dotnet/aspire/issues/15816,Dogfood installation from PRs should be self-contained,Inner Loop,feature,11,2026-04-02,area-acquisition
15813,https://github.com/dotnet/aspire/issues/15813,[Feature Request] Enable Go-based Polyglot AppHost (apphost.go) via JSON-RPC,Polyglot,feature,11,2026-04-02,area-polyglot; enhancement
15812,https://github.com/dotnet/aspire/issues/15812,"Support alternative JavaScript runtimes (Bun, Deno) for TypeScript AppHosts",Polyglot,feature,11,2026-04-02,area-polyglot; enhancement
15805,https://github.com/dotnet/aspire/issues/15805,DistributedApplicationTestingBuilder - Allow exporting logs and traces,Infra,feature,11,2026-04-02,area-app-testing; enhancement
15801,https://github.com/dotnet/aspire/issues/15801,Skills with copilot cli is terrible,Infra,feature,11,2026-04-02,needs-area-label; area-copilot
15797,https://github.com/dotnet/aspire/issues/15797,Make the Aspire CLI dotnet tool package use the NativeAOT binary,Inner Loop,feature,11,2026-04-02,area-cli
15795,https://github.com/dotnet/aspire/issues/15795,AddDatabase() databases are not created when deploying to Kubernetes,Deployment,bug,11,2026-04-02,area-deployment; silent-failure
15789,https://github.com/dotnet/aspire/issues/15789,NATS container args incompatible with Kubernetes publishing - Command line args must be strings,Deployment,feature,11,2026-04-02,area-deployment
15785,https://github.com/dotnet/aspire/issues/15785,TypeScript codegen does not reliably pick up new integrations added via aspire add,Polyglot,feature,11,2026-04-02,area-polyglot
15784,https://github.com/dotnet/aspire/issues/15784,[Deployment E2E] Nightly test failure - 2026-04-02,Infra,bug,11,2026-04-02,area-testing; deployment-e2e
15782,https://github.com/dotnet/aspire/issues/15782,aspire otel commands fail with 'No such host is known' when using *.dev.localhost URLs (TypeScript AppHost),Inner Loop,bug,11,2026-04-02,area-cli
15777,https://github.com/dotnet/aspire/issues/15777,[Failing test]: Aspire.Hosting.Tests.DistributedApplicationTests.StartResourceForcesStart,Infra,bug,11,2026-04-02,area-app-model; quarantined-test; failing-test
15770,https://github.com/dotnet/aspire/issues/15770,RunAsEmulator/RunAsContainer are no-ops in publish mode — problematic for docker-compose targets,Deployment,bug,12,2026-04-01,area-deployment; silent-failure
15753,https://github.com/dotnet/aspire/issues/15753,CLI debug log level conflicts with pipeline debug output,Inner Loop,bug,12,2026-04-01,area-cli
15752,https://github.com/dotnet/aspire/issues/15752,Backchannel path is too long,Polyglot,feature,12,2026-04-01,area-app-model
15750,https://github.com/dotnet/aspire/issues/15750,Running aspire init in empty folder fails,Inner Loop,bug,12,2026-04-01,‼️regression-from-last-release; area-cli
15743,https://github.com/dotnet/aspire/issues/15743,[Deployment E2E] Nightly test failure - 2026-04-01,Infra,bug,12,2026-04-01,area-testing; deployment-e2e
15735,https://github.com/dotnet/aspire/issues/15735,"on SSH Remote from Windows to Mac, after updating to 13.2.1, I get AppleCommonCryptoCryptographicException",Polyglot,bug,13,2026-03-31,area-app-model
15734,https://github.com/dotnet/aspire/issues/15734,Create [AspireExportObsolete],Polyglot,feature,13,2026-03-31,area-polyglot
15725,https://github.com/dotnet/aspire/issues/15725,[Deployment E2E] Nightly test failure - 2026-03-31,Infra,bug,13,2026-03-31,area-testing; deployment-e2e
15710,https://github.com/dotnet/aspire/issues/15710,Aspire watch experience,Polyglot,feature,14,2026-03-30,area-app-model; area-orchestrator
15703,https://github.com/dotnet/aspire/issues/15703,[ResourceName] could be an annotation on ATS exports,Polyglot,feature,14,2026-03-30,area-polyglot
15701,https://github.com/dotnet/aspire/issues/15701,OnChange event for builder.AddConnectionString parameter,Uncategorized,feature,14,2026-03-30,needs-area-label; enhancement
15700,https://github.com/dotnet/aspire/issues/15700,Error message for port conflicts of dependencies is logged at a to low level,Polyglot,bug,14,2026-03-30,area-app-model; area-orchestrator
15698,https://github.com/dotnet/aspire/issues/15698,[Deployment E2E] Nightly test failure - 2026-03-30,Infra,bug,14,2026-03-30,area-testing; deployment-e2e
15689,https://github.com/dotnet/aspire/issues/15689,[Deployment E2E] Nightly test failure - 2026-03-29,Infra,bug,15,2026-03-29,area-testing; deployment-e2e
15687,https://github.com/dotnet/aspire/issues/15687,Infer AspireUnion metadata from C# union types in exported APIs,Polyglot,feature,15,2026-03-29,area-app-model; area-polyglot
15685,https://github.com/dotnet/aspire/issues/15685,`aspire run` hangs indefinitely when AppHost exits with code 0 (e.g. empty AppHost),Inner Loop,bug,15,2026-03-29,‼️regression-from-last-release; area-cli
15680,https://github.com/dotnet/aspire/issues/15680,CI: Hosting-1 Windows flaky - DCP fails with 'The directory name is invalid' for dotnet.exe,Infra,bug,16,2026-03-28,area-orchestrator; flaky-test
15679,https://github.com/dotnet/aspire/issues/15679,Dashboard metrics view for tagged metrics could be improved.,Dashboard,feature,16,2026-03-28,area-dashboard; enhancement
15674,https://github.com/dotnet/aspire/issues/15674,`aspire dashboard` - Start an empty dashboard,Dashboard,feature,16,2026-03-28,area-dashboard; enhancement
15673,https://github.com/dotnet/aspire/issues/15673,HttpServiceEndpointResolver timers leak on IHttpClientFactory handler rotation when using AddServiceDiscovery(),Polyglot,feature,16,2026-03-28,area-service-discovery
15666,https://github.com/dotnet/aspire/issues/15666,"[CI] Hosting.Redis test fails with ""Collection was modified"" while creating redisinsight",Integrations,bug,16,2026-03-28,area-app-model
15665,https://github.com/dotnet/aspire/issues/15665,[Deployment E2E] Nightly test failure - 2026-03-28,Infra,bug,16,2026-03-28,area-testing; deployment-e2e
15661,https://github.com/dotnet/aspire/issues/15661,Handle command input through the interaction service for CLI and MCP,Inner Loop,feature,16,2026-03-28,area-app-model; area-cli; area-mcp
15648,https://github.com/dotnet/aspire/issues/15648,Dashboard: Use persistent notification pattern for command results instead of modal dialog,Dashboard,feature,17,2026-03-27,area-dashboard
15646,https://github.com/dotnet/aspire/issues/15646,Interactive InputType and range limiting,Uncategorized,feature,17,2026-03-27,needs-area-label
15642,https://github.com/dotnet/aspire/issues/15642,[Deployment E2E] Nightly test failure - 2026-03-27,Infra,bug,17,2026-03-27,area-testing; deployment-e2e
15632,https://github.com/dotnet/aspire/issues/15632,"in aspire.config.json, ""packages"" should be renamed ""integrations""",Integrations,feature,17,2026-03-26,area-integrations
15629,https://github.com/dotnet/aspire/issues/15629,Interactive Input Choice - Multiselect,Polyglot,feature,18,2026-03-26,area-app-model
15628,https://github.com/dotnet/aspire/issues/15628,Aspire crashing soon after startup,Polyglot,bug,18,2026-03-26,area-orchestrator; ‼️regression-from-last-release
15623,https://github.com/dotnet/aspire/issues/15623,aspire new/run from workspace root uses root aspire.config.json (no packages) instead of project config,Inner Loop,feature,18,2026-03-26,area-cli; area-polyglot
15621,https://github.com/dotnet/aspire/issues/15621,aspire publish not working with Vite app,Deployment,bug,18,2026-03-26,area-deployment
15620,https://github.com/dotnet/aspire/issues/15620,"CosmosDB preview emulator: HTTPS endpoint switch ignores certificate availability, breaks CI",Integrations,feature,18,2026-03-26,area-integrations
15615,https://github.com/dotnet/aspire/issues/15615,[CI] macOS runner scarcity is delaying rolling builds for hours and leading to cancellations,Infra,feature,18,2026-03-26,area-engineering-systems
15614,https://github.com/dotnet/aspire/issues/15614,Aspire CLI needs an uninstall/cleanup command for script and PR installs,Inner Loop,feature,18,2026-03-26,area-cli
15604,https://github.com/dotnet/aspire/issues/15604,`aspire update` says 'up to date' when `dev` CLI checks `stable` project — potentially confusing UX,Inner Loop,feature,18,2026-03-26,area-cli
15601,https://github.com/dotnet/aspire/issues/15601,`aspire update --non-interactive` crashes at ConfirmAsync when version downgrade is detected,Inner Loop,bug,18,2026-03-26,area-cli
15600,https://github.com/dotnet/aspire/issues/15600,`aspire update --non-interactive` crashes at PromptForSelectionAsync when hive directories exist,Inner Loop,bug,18,2026-03-26,area-cli
